Number of unique subjects: 152,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within,140,-,0,0,0,0,0,0,0,29,0,0,0,0,0,0,140,140,140,0,0,0,0,0,0,0,136
[1] http://id.southampton.ac.uk/ns/processIncludedFile,5,-,-,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0
[2] http://purl.org/dc/terms/conformsTo,2,-,-,-,2,2,2,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[3] http://purl.org/dc/terms/description,2,-,-,-,-,2,2,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[4] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,-,2,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[5] http://purl.org/dc/terms/license,2,-,-,-,-,-,-,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[6] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,-,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[7] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,-,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[8] http://purl.org/openorg/access,29,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,29,29,29,0,0,0,0,0,0,0,29
[9] http://purl.org/openorg/corrections,2,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
[10] http://purl.org/void/provenance/ns/processType,2,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,2,0,0,2,2,2,2,0,2,2,0
[11] http://purl.org/void/provenance/ns/resultingDataset,2,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,0,0,2,2,2,2,0,2,2,0
[12] http://purl.org/void/provenance/ns/sourceDataset,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,0,2,2,2,2,0,2,2,0
[13] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,0,2,0,0,0
[14] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,140,2,2,2,2,2,2,2,136
[16] http://www.w3.org/2000/01/rdf-schema#label,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,0,0,0,0,0,0,0,136
[17] http://www.w3.org/2004/02/skos/core#notation,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,136
[18] http://www.w3.org/2006/time#hasBeginning,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,0,2,2,0
[19] http://www.w3.org/2006/time#hasEnd,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,2,2,0
[20] http://www.w3.org/ns/prov#endedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,2,0
[21] http://www.w3.org/ns/prov#generated,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,0
[22] http://www.w3.org/ns/prov#hadPrimarySource,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/ns/prov#startedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0
[24] http://www.w3.org/ns/prov#used,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/depiction,272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
