Number of unique subjects: 29,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21]
[0] http://purl.org/NET/scovo#dimension,11,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/terms/date,10,-,-,-,1,1,9,1,0,0,1,2,0,1,1,8,1,9,0,9,9,1,1
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[4] http://purl.org/dc/terms/subject,1,-,-,-,-,-,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[5] http://purl.org/dc/terms/title,9,-,-,-,-,-,-,1,0,0,1,2,0,1,1,8,1,9,0,9,9,1,0
[6] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[7] http://rdfs.org/ns/void#linkPredicate,8,-,-,-,-,-,-,-,-,8,0,8,8,0,0,0,0,8,0,8,0,0,0
[8] http://rdfs.org/ns/void#objectsTarget,8,-,-,-,-,-,-,-,-,-,0,8,8,0,0,0,0,8,0,8,0,0,0
[9] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,1,0,1,1,1,0
[10] http://rdfs.org/ns/void#statItem,11,-,-,-,-,-,-,-,-,-,-,-,8,1,1,1,1,10,0,10,2,1,0
[11] http://rdfs.org/ns/void#subjectsTarget,8,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,8,0,8,0,0,0
[12] http://rdfs.org/ns/void#subset,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1,1,0,0
[13] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,0,0
[14] http://rdfs.org/ns/void#uriRegexPattern,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,0,8,8,1,0
[15] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,0
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,17,9,1,0
[17] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,0,0
[18] http://www.w3.org/2000/01/rdf-schema#label,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,0
[19] http://xmlns.com/foaf/0.1/homepage,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[20] http://xmlns.com/foaf/0.1/nick,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[21] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
